,occupancy,bin1,bin2,H2S,temperature,humidity,timestamp,date,time
236,0,30.52,12.18,833,-1.0,-1.0,1639011600,2021-12-09,01:00:00
237,0,30.25,12.25,816,-1.0,-1.0,1639012200,2021-12-09,01:10:00
238,0,30.26,11.31,811,-1.0,-1.0,1639012800,2021-12-09,01:20:00
239,0,30.26,27.08,841,-1.0,-1.0,1639013400,2021-12-09,01:30:00
240,0,31.55,14.53,834,-1.0,-1.0,1639014000,2021-12-09,01:40:00
241,0,31.55,12.18,824,-1.0,-1.0,1639014600,2021-12-09,01:50:00
242,0,30.94,16.2,821,-1.0,-1.0,1639015200,2021-12-09,02:00:00
243,0,30.78,22.45,865,-1.0,-1.0,1639015800,2021-12-09,02:10:00
244,0,30.78,24.01,801,-1.0,-1.0,1639016400,2021-12-09,02:20:00
245,0,30.78,25.74,821,-1.0,-1.0,1639017000,2021-12-09,02:30:00
246,0,30.78,32.48,835,-1.0,-1.0,1639017600,2021-12-09,02:40:00
247,0,30.78,23.49,816,-1.0,-1.0,1639018200,2021-12-09,02:50:00
248,0,30.01,24.76,818,-1.0,-1.0,1639018800,2021-12-09,03:00:00
249,0,30.01,17.69,829,-1.0,-1.0,1639019400,2021-12-09,03:10:00
250,0,30.01,30.66,869,-1.0,-1.0,1639020000,2021-12-09,03:20:00
251,0,30.01,29.88,795,-1.0,-1.0,1639020600,2021-12-09,03:30:00
252,0,29.23,31.17,809,-1.0,-1.0,1639021200,2021-12-09,03:40:00
253,0,29.23,30.39,795,-1.0,-1.0,1639021800,2021-12-09,03:50:00
254,0,29.23,29.62,853,-1.0,-1.0,1639022400,2021-12-09,04:00:00
255,0,28.4,29.62,795,-1.0,-1.0,1639023000,2021-12-09,04:10:00
256,0,28.4,13.36,773,-1.0,-1.0,1639023600,2021-12-09,04:20:00
257,0,28.73,14.24,778,-1.0,-1.0,1639024200,2021-12-09,04:30:00
258,0,29.76,23.31,794,-1.0,-1.0,1639024800,2021-12-09,04:40:00
259,0,29.75,15.13,794,-1.0,-1.0,1639025400,2021-12-09,04:50:00
260,0,29.75,16.41,762,-1.0,-1.0,1639026000,2021-12-09,05:00:00
261,0,29.75,13.06,793,-1.0,-1.0,1639026600,2021-12-09,05:10:00
262,0,28.98,13.95,806,-1.0,-1.0,1639027200,2021-12-09,05:20:00
263,0,27.24,14.48,798,-1.0,-1.0,1639027800,2021-12-09,05:30:00
264,0,27.24,14.83,760,-1.0,-1.0,1639028400,2021-12-09,05:40:00
265,0,27.24,29.88,784,-1.0,-1.0,1639029000,2021-12-09,05:50:00
266,0,27.25,19.82,793,-1.0,-1.0,1639029600,2021-12-09,06:00:00
267,0,28.11,13.66,797,-1.0,-1.0,1639030200,2021-12-09,06:10:00
268,0,29.49,33.52,795,-1.0,-1.0,1639030800,2021-12-09,06:20:00
269,0,24.65,36.08,738,-1.0,-1.0,1639031400,2021-12-09,06:30:00
270,1,25.52,34.03,809,-1.0,-1.0,1639032000,2021-12-09,06:40:00
271,0,30.78,35.33,798,-1.0,-1.0,1639032600,2021-12-09,06:50:00
272,0,28.98,33.26,796,-1.0,-1.0,1639033200,2021-12-09,07:00:00
273,0,29.6,34.56,788,-1.0,-1.0,1639033800,2021-12-09,07:10:00
274,0,40.45,35.84,826,-1.0,-1.0,1639034400,2021-12-09,07:20:00
275,0,29.76,36.08,807,-1.0,-1.0,1639035000,2021-12-09,07:30:00
276,0,22.35,36.08,768,-1.0,-1.0,1639035600,2021-12-09,07:40:00
277,0,23.5,36.08,753,-1.0,-1.0,1639036200,2021-12-09,07:50:00
278,0,24.93,36.54,782,-1.0,-1.0,1639036800,2021-12-09,08:00:00
279,0,23.98,38.62,803,-1.0,-1.0,1639037400,2021-12-09,08:10:00
280,0,33.88,40.03,808,-1.0,-1.0,1639038000,2021-12-09,08:20:00
281,0,40.26,45.8,769,-1.0,-1.0,1639038600,2021-12-09,08:30:00
282,0,29.74,29.94,818,-1.0,-1.0,1639039200,2021-12-09,08:40:00
283,0,31.8,29.62,804,-1.0,-1.0,1639039800,2021-12-09,08:50:00
284,0,28.96,29.62,822,-1.0,-1.0,1639040400,2021-12-09,09:00:00
285,1,33.62,29.6,826,-1.0,-1.0,1639041000,2021-12-09,09:10:00
286,-1,29.21,30.91,770,-1.0,-1.0,1639041600,2021-12-09,09:20:00
287,-1,35.67,37.22,801,28.9,13.0,1639042200,2021-12-09,09:30:00
288,4,35.9,30.13,812,27.9,15.0,1639042800,2021-12-09,09:40:00
289,5,33.61,30.13,820,27.2,16.0,1639043400,2021-12-09,09:50:00
290,6,35.9,30.13,820,27.3,16.0,1639044000,2021-12-09,10:00:00
291,9,33.09,30.13,822,27.4,16.0,1639044600,2021-12-09,10:10:00
292,9,29.73,38.14,827,27.3,16.0,1639045200,2021-12-09,10:20:00
293,9,30.51,38.6,821,27.2,16.0,1639045800,2021-12-09,10:30:00
294,9,39.79,34.9,829,27.3,16.0,1639046400,2021-12-09,10:40:00
295,10,28.96,38.87,849,27.5,16.0,1639047000,2021-12-09,10:50:00
296,10,35.9,37.4,785,27.6,16.0,1639047600,2021-12-09,11:00:00
297,10,36.12,36.98,812,27.6,15.0,1639048200,2021-12-09,11:10:00
298,11,38.87,36.98,828,27.6,16.0,1639048800,2021-12-09,11:20:00
299,11,35.89,33.76,829,27.6,16.0,1639049400,2021-12-09,11:30:00
300,11,33.08,34.28,789,27.7,16.0,1639050000,2021-12-09,11:40:00
301,10,30.23,33.5,809,27.8,16.0,1639050600,2021-12-09,11:50:00
302,9,35.66,33.91,865,27.7,16.0,1639051200,2021-12-09,12:00:00
303,10,37.02,34.02,846,27.7,16.0,1639051800,2021-12-09,12:10:00
304,10,41.91,34.22,826,27.8,16.0,1639052400,2021-12-09,12:20:00
305,10,43.66,34.54,884,27.8,16.0,1639053000,2021-12-09,12:30:00
306,13,37.72,34.54,837,27.8,16.0,1639053600,2021-12-09,12:40:00
307,11,35.67,25.32,874,27.8,16.0,1639054200,2021-12-09,12:50:00
308,11,36.12,30.02,821,27.8,16.0,1639054800,2021-12-09,13:00:00
309,13,36.95,41.11,849,27.9,16.0,1639055400,2021-12-09,13:10:00
310,18,34.86,29.82,839,28.2,16.0,1639056000,2021-12-09,13:20:00
311,15,35.86,29.1,854,28.1,17.0,1639056600,2021-12-09,13:30:00
312,13,37.47,29.86,849,28.3,17.0,1639057200,2021-12-09,13:40:00
313,13,37.02,26.49,832,28.4,17.0,1639057800,2021-12-09,13:50:00
314,14,36.12,42.77,806,28.1,17.0,1639058400,2021-12-09,14:00:00
315,15,38.37,29.86,976,28.2,17.0,1639059000,2021-12-09,14:10:00
316,18,37.26,18.33,816,28.0,17.0,1639059600,2021-12-09,14:20:00
317,19,35.66,25.03,967,28.0,17.0,1639060200,2021-12-09,14:30:00
318,20,35.67,29.61,819,28.3,17.0,1639060800,2021-12-09,14:40:00
319,18,37.54,21.13,960,28.1,17.0,1639061400,2021-12-09,14:50:00
320,19,35.9,22.72,959,28.1,17.0,1639062000,2021-12-09,15:00:00
321,20,38.19,23.59,973,28.1,17.0,1639062600,2021-12-09,15:10:00
322,22,34.64,22.43,973,28.0,17.0,1639063200,2021-12-09,15:20:00
323,21,31.29,28.74,826,28.1,17.0,1639063800,2021-12-09,15:30:00
324,18,31.54,29.09,961,28.2,17.0,1639064400,2021-12-09,15:40:00
325,17,31.8,26.78,988,28.3,17.0,1639065000,2021-12-09,15:50:00
326,22,31.8,32.97,975,28.3,17.0,1639065600,2021-12-09,16:00:00
327,21,29.21,26.48,981,28.3,17.0,1639066200,2021-12-09,16:10:00
328,16,26.36,26.77,1014,28.3,18.0,1639066800,2021-12-09,16:20:00
