,occupancy,bin1,bin2,H2S,temperature,humidity,date,time
157,13,21.00584795321636,61.966900063653725,83.10010764262648,57.777777777777715,92.5925925925926,2021-12-08,11:50:00
158,13,23.67251461988303,27.62571610439211,83.20775026910657,48.8888888888888,92.5925925925926,2021-12-08,12:00:00
159,13,0.0,28.51686823679185,82.88482238966631,48.8888888888888,88.88888888888889,2021-12-08,12:10:00
160,15,0.7953216374268806,28.51686823679185,77.71797631862218,51.11111111111097,88.88888888888889,2021-12-08,12:20:00
161,15,5.450292397660803,52.864417568427754,82.34660925726588,51.11111111111097,88.88888888888889,2021-12-08,12:30:00
162,15,32.7719298245614,58.67281985996181,84.82238966630786,48.8888888888888,88.88888888888889,2021-12-08,12:40:00
163,17,31.719298245614013,39.51304901336729,82.13132400430571,51.11111111111097,88.88888888888889,2021-12-08,12:50:00
164,15,19.415204678362556,42.21833227243794,81.59311087190527,51.11111111111097,88.88888888888889,2021-12-08,13:00:00
165,20,44.18713450292395,61.521323997453855,78.57911733046286,53.33333333333326,85.18518518518519,2021-12-08,13:10:00
166,26,24.21052631578945,61.807765754296625,72.8740581270183,46.66666666666663,88.88888888888889,2021-12-08,13:20:00
167,24,33.30994152046782,61.521323997453855,91.28094725511302,46.66666666666663,85.18518518518519,2021-12-08,13:30:00
168,29,37.520467836257296,40.038192234245706,92.46501614639398,44.44444444444446,85.18518518518519,2021-12-08,13:40:00
169,25,39.34502923976606,47.48567791215786,76.64155005382132,37.777777777777715,88.88888888888889,2021-12-08,13:50:00
170,18,32.7719298245614,52.45066836409931,89.02045209903122,42.22222222222217,85.18518518518519,2021-12-08,14:00:00
171,21,32.23391812865495,52.959898154042016,76.64155005382132,35.55555555555543,88.88888888888889,2021-12-08,14:10:00
172,24,32.7719298245614,29.487587523870147,73.19698600645856,26.66666666666663,88.88888888888889,2021-12-08,14:20:00
173,21,32.23391812865495,32.0337364735837,75.56512378902045,26.66666666666663,88.88888888888889,2021-12-08,14:30:00
174,18,32.7719298245614,23.185868873329085,78.14854682454252,26.66666666666663,88.88888888888889,2021-12-08,14:40:00
175,17,33.30994152046782,24.283895607893072,75.24219590958019,28.8888888888888,88.88888888888889,2021-12-08,14:50:00
176,21,36.32748538011694,31.397199236155316,75.8880516684607,37.777777777777715,88.88888888888889,2021-12-08,15:00:00
177,21,31.999999999999986,32.0337364735837,77.39504843918192,37.777777777777715,88.88888888888889,2021-12-08,15:10:00
